"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"478","NM_013994","NM_004383","HGNC:2730","HGNC:2444","0.42","0.647","0.55","0.192","0.142","0.141","0.372","0.658","0.736",1
"479","NM_031417","NM_001626","HGNC:13538","HGNC:392","0.477","0.489","0.694","0.212","0.128","0.167","0.362","0.545","0.843",1
"480","NM_000269","NM_002513","HGNC:7849","HGNC:7851","1","1","1","0.587","0.175","0.067","1","1","1",1
"481","NM_031417","NM_002446","HGNC:13538","HGNC:6849","0.45","1","0.424","0.153","0.079","0.143","0.415","1","0.601",1
"482","NM_006259","NM_004409","HGNC:9416","HGNC:2933","0.404","1","0.408","0.109","0.175","0.152","0.424","1","0.474",1
"483","NM_005356","NM_017449","HGNC:6524","HGNC:3393","0.51","0.584","0.471","0.217","0.132","0.142","0.403","0.591","0.699",1
"484","NM_021130","NM_000943","HGNC:9253","HGNC:9256","1","1","0.722","0.593","0.274","0.299","1","1","0.863",1
"485","NM_138809","NM_152764","HGNC:25090","HGNC:28569","0.252","0.622","0.458","0.123","0.079","0.204","0.287","0.784","0.319",1
"486","NM_002496","NM_007103","HGNC:7715","HGNC:7716","0.829","0.864","0.748","0.45","0.334","0.448","0.838","0.856","0.719",1
"487","NM_018146","NM_013393","HGNC:18485","HGNC:16352","1","0.889","0.761","0.785","0.279","0.636","1","0.924","0.719",1
"488","NM_014683","NM_006852","HGNC:13480","HGNC:11842","0.501","0.191","0.836","0.204","0.091","0.161","0.438","0.518","0.83",1
"489","NM_002304","NM_002405","HGNC:6560","HGNC:7038","0.752","0.906","1","0.457","0.226","0.777","0.695","0.619","1",1
"490","NM_005588","NM_005925","HGNC:7015","HGNC:7020","0","0.667","1","0","0.367","0.067","0","0.697","1",1
"491","NM_002715","NM_145049","HGNC:9299","HGNC:28110","1","0.434","0.776","0.385","0.08","0.234","1","0.516","0.894",1
"492","NM_016281","NM_080836","HGNC:18133","HGNC:16254","0","0","0","0","0","0","0","0","0",1
"493","NM_005396","NM_000936","HGNC:9157","HGNC:9155","0.642","1","0.778","0.339","0.222","0.435","0.59","1","0.768",1
"494","NM_001080843","NM_015917","HGNC:33437","HGNC:16906","1","0.648","1","0.62","0.161","0.602","1","0.739","1",1
"495","NM_002707","NM_005605","HGNC:9278","HGNC:9316","0","0","0","0","0","0","0","0","0",1
"496","NM_000561","NM_000849","HGNC:4632","HGNC:4635","0.85","0.866","0.936","0.586","0.228","0.393","0.861","0.854","0.956",1
"497","NM_145049","NM_181678","HGNC:28110","HGNC:9305","0","0.384","1","0","0.091","0.067","0","0.599","1",1
"498","NM_001909","NM_001910","HGNC:2529","HGNC:2530","0.573","0.901","0.799","0.23","0.288","0.361","0.527","0.712","0.757",1
"499","NM_005205","NM_004374","HGNC:2279","HGNC:2285","1","0","0","0.379","0","0","1","0","0",1
"500","NM_054110","NM_017417","HGNC:21531","HGNC:4130","1","0.717","0","0.547","0.225","0","1","0.823","0",1
"501","NM_013994","NM_006182","HGNC:2730","HGNC:2731","0.677","0.335","0.97","0.33","0.06","0.428","0.661","0.413","0.985",1
"502","NM_006741","NM_002717","HGNC:9286","HGNC:9304","0","0","0.721","0","0","0.226","0","0","0.686",1
"503","NM_015571","NM_152699","HGNC:20944","HGNC:28407","0.676","1","1","0.36","0.184","0.067","0.751","1","1",1
"504","NM_014262","NM_018192","HGNC:19318","HGNC:19317","0.932","0","0","0.487","0","0","0.845","0.149","0",1
"505","NM_020474","NM_052917","HGNC:4123","HGNC:23242","0.988","1","1","0.607","0.327","0.6","0.994","1","1",1
"506","NM_032783","NM_145168","HGNC:25891","HGNC:29834","0","0","0","0","0","0","0","0","0",1
"507","NM_000929","NM_001004426","HGNC:9038","HGNC:9039","0.686","0.906","0","0.407","0.201","0","0.612","0.619","0",1
"508","NM_000127","NM_000401","HGNC:3512","HGNC:3513","0.946","0.841","0.93","0.428","0.247","0.488","0.958","0.842","0.947",1
"509","NM_005539","NM_016532","HGNC:6076","HGNC:33882","0.84","0.4","0.616","0.489","0.061","0.31","0.65","0.551","0.635",1
"510","NM_153699","NM_000854","HGNC:19662","HGNC:4642","0","1","0","0","0.274","0","0","1","0",1
"511","NM_020223","NM_002742","HGNC:22140","HGNC:9407","0.304","0.469","0.764","0.102","0.133","0.18","0.283","0.569","0.84",1
"512","NM_000302","NM_000935","HGNC:9081","HGNC:9082","0.833","0.98","1","0.413","0.281","0.723","0.83","0.936","1",1
"513","NM_000061","NM_002031","HGNC:1133","HGNC:3955","0.519","0.51","0.694","0.203","0.085","0.176","0.406","0.596","0.767",1
"514","NM_005163","NM_005044","HGNC:391","HGNC:9441","0.401","0.634","0.445","0.172","0.074","0.125","0.377","0.691","0.646",1
"515","NM_006259","NM_007174","HGNC:9416","HGNC:1985","0.135","1","0.408","0.039","0.175","0.152","0.269","1","0.489",1
"516","NM_002707","NM_002717","HGNC:9278","HGNC:9304","0","0","0","0","0","0","0","0","0",1
"517","NM_000499","NM_000761","HGNC:2595","HGNC:2596","0.691","0.703","0.575","0.362","0.198","0.226","0.741","0.778","0.668",1
"518","NM_198516","NM_003774","HGNC:30488","HGNC:4126","0.917","0","1","0.463","0","0.6","0.96","0.255","1",1
"519","NM_002707","NM_145049","HGNC:9278","HGNC:28110","0","0","0","0","0","0","0","0","0",1
"520","NM_001862","NM_004255","HGNC:2269","HGNC:2267","1","0.869","1","0.687","0.341","0.067","1","0.837","1",1
"521","NM_001625","NM_152572","HGNC:362","HGNC:26526","1","0.262","1","0.587","0.091","0.661","1","0.425","1",1
"522","NM_139245","NM_001009552","HGNC:16381","HGNC:9300","0.343","0.209","1","0.146","0.055","0.495","0.212","0.293","1",1
"523","NM_139245","NM_006241","HGNC:16381","HGNC:9288","0.227","0","0","0.096","0","0","0.258","0","0.129",1
"524","NM_002707","NM_021003","HGNC:9278","HGNC:9275","0","0","0","0","0","0","0","0","0",1
"525","YP_003024026","YP_003024033","HGNC:7455","HGNC:7458","1","0.99","1","0.541","0.43","0.334","1","0.984","1",1
"526","NM_015929","NM_001144869","HGNC:29569","HGNC:37216","0.606","1","0.598","0.143","0.371","0.37","0.732","1","0.729",1
"527","NM_001001396","NM_001682","HGNC:817","HGNC:814","0.592","0.529","0.484","0.289","0.13","0.14","0.433","0.58","0.563",1
"528","NM_002227","NM_005233","HGNC:6190","HGNC:3387","0.411","0.367","0.614","0.191","0.106","0.185","0.448","0.55","0.68",1
"529","NM_003365","NM_003366","HGNC:12585","HGNC:12586","0.967","0.811","0.292","0.551","0.33","0.067","0.938","0.83","0.602",1
"530","NM_000849","NM_004528","HGNC:4635","HGNC:7064","0.507","0.41","0.439","0.304","0.063","0.085","0.534","0.522","0.588",1
"531","NM_005396","NM_025225","HGNC:9157","HGNC:18590","0.65","0","0.531","0.366","0","0.312","0.601","0.293","0.505",1
"532","NM_002578","NM_006852","HGNC:8592","HGNC:11842","0.302","0.238","0.799","0.134","0.054","0.179","0.34","0.529","0.794",1
"533","NM_015205","NM_138813","HGNC:13552","HGNC:13535","0","0","0","0","0","0","0","0","0",1
"534","NM_032482","NM_006709","HGNC:24948","HGNC:14129","0.532","0.761","0.748","0.262","0.13","0.271","0.566","0.833","0.844",1
"535","NM_005163","NM_020223","HGNC:391","HGNC:22140","0.266","0.398","0.563","0.088","0.092","0.147","0.254","0.497","0.674",1
"536","NM_006003","NM_006004","HGNC:12587","HGNC:12590","1","0.926","1","0.71","0.398","0.067","1","0.906","1",1
"537","YP_003024026","YP_003024034","HGNC:7455","HGNC:7460","1","1","1","0.567","0.538","0.6","1","1","1",1
"538","NM_005163","NM_002576","HGNC:391","HGNC:8590","0.586","0.618","0.561","0.26","0.115","0.141","0.506","0.701","0.716",1
"539","NM_004320","NM_001001486","HGNC:811","HGNC:13211","0.535","0.699","1","0.243","0.206","0.559","0.599","0.722","1",1
"540","NM_147180","NM_152542","HGNC:9318","HGNC:25415","0","0","1","0","0","0.067","0","0","1",1
"541","NM_013994","NM_000215","HGNC:2730","HGNC:6193","0.371","0.489","0.63","0.186","0.1","0.166","0.414","0.451","0.724",1
"542","NM_005605","NM_001009552","HGNC:9316","HGNC:9300","0.507","0.682","0.796","0.237","0.116","0.238","0.528","0.833","0.854",1
"543","NM_002715","NM_020700","HGNC:9299","HGNC:18583","0","0.482","1","0","0.07","0.381","0","0.601","1",1
"544","NM_139245","NM_002708","HGNC:16381","HGNC:9281","0.413","0.429","1","0.268","0.11","0.495","0.361","0.466","1",1
"545","NM_013358","NM_207421","HGNC:18367","HGNC:20449","0","1","0","0","0.079","0","0","1","0",1
"546","NM_002707","NM_002715","HGNC:9278","HGNC:9299","0","0","0","0","0","0","0","0","0",1
"547","NM_030965","NM_013305","HGNC:19342","HGNC:17827","0.857","1","0.712","0.464","0.327","0.391","0.749","1","0.76",1
"548","NM_002707","NM_032192","HGNC:9278","HGNC:9287","0","0","0","0","0","0","0","0","0",1
"549","NM_005605","NM_152542","HGNC:9316","HGNC:25415","0.311","0.433","1","0.146","0.088","0.067","0.198","0.566","1",1
"550","NM_001868","NM_001870","HGNC:2296","HGNC:2298","0","0.906","0","0","0.201","0","0","0.619","0.106",1
"551","NM_001098521","NM_138412","HGNC:16637","HGNC:19978","0.213","0.798","0","0.099","0.283","0","0.176","0.561","0.129",1
"552","NM_001349","NM_018122","HGNC:2678","HGNC:25538","0.778","0.318","0.519","0.421","0.066","0.137","0.748","0.452","0.57",1
"553","NM_173654","NM_003605, NM_181672","HGNC:28526","HGNC:8127","0","0","0","0","0","0","0","0","0",1
"554","NM_005163","NM_002742","HGNC:391","HGNC:9407","0.685","0.545","0.662","0.302","0.103","0.168","0.614","0.66","0.772",1
"555","NM_182948","NM_212535","HGNC:9381","HGNC:9395","0.596","0.677","0.438","0.248","0.149","0.135","0.54","0.725","0.599",1
"556","NM_000669","NM_000670","HGNC:251","HGNC:252","1","0.74","1","0.68","0.121","0.721","1","0.736","1",1
"557","NM_004184","NM_015836","HGNC:12729","HGNC:12730","1","0.325","1","0.538","0.065","0.681","1","0.509","1",1
"558","NM_172084","NM_172169","HGNC:1461","HGNC:1463","0.621","0.91","0.786","0.301","0.24","0.169","0.526","0.887","0.867",1
"559","NM_005246","NM_005356","HGNC:3655","HGNC:6524","0.553","0.475","0.484","0.244","0.145","0.158","0.465","0.539","0.725",1
"560","NM_020474","NM_024642","HGNC:4123","HGNC:19877","1","1","0","0.547","0.327","0","1","1","0",1
"561","NM_181876","NM_002716","HGNC:9306","HGNC:9303","0","0","1","0","0","0.067","0","0.086","1",1
"562","NM_182948","NM_014683","HGNC:9381","HGNC:13480","0.348","0.229","0.562","0.138","0.091","0.129","0.324","0.518","0.674",1
"563","NM_024827","NM_001015053","HGNC:19086","HGNC:14068","0.418","0.666","0.718","0.17","0.186","0.229","0.365","0.756","0.774",1
"564","NM_005396","NM_001011709","HGNC:9157","HGNC:23492","0","0","0","0","0","0","0","0","0",1
"565","NM_000196","NM_001098521","HGNC:5209","HGNC:16637","0.415","0.496","0","0.187","0.16","0","0.197","0.505","0",1
"566","NM_052917","NM_054110","HGNC:23242","HGNC:21531","1","1","0","0.547","0.327","0","1","1","0",1
"567","NM_002717","NM_002711","HGNC:9304","HGNC:9291","0","0","0","0","0","0","0","0","0",1
"568","NM_016281","NM_006255","HGNC:18133","HGNC:9403","0.541","0","0.412","0.204","0","0.034","0.41","0","0.555",1
"569","NM_004482","NM_198321","HGNC:4125","HGNC:19873","0.693","1","1","0.373","0.327","0.6","0.746","1","1",1
"570","NM_005246","NM_002031","HGNC:3655","HGNC:3955","0.413","0.461","0.747","0.154","0.091","0.197","0.386","0.593","0.869",1
"571","NM_016281","NM_002744","HGNC:18133","HGNC:9412","0.563","0","0.743","0.237","0","0.163","0.472","0","0.796",1
"572","NM_005167","NM_006247","HGNC:20785","HGNC:9322","0","0","0","0","0","0","0","0","0",1
"573","NM_002706","NM_002715","HGNC:9276","HGNC:9299","0.449","0.627","0.776","0.227","0.117","0.234","0.411","0.673","0.894",1
"574","NM_181690","NM_014683","HGNC:393","HGNC:13480","0.297","0","0.85","0.114","0","0.179","0.306","0","0.84",1
"575","NM_006411","NM_018361","HGNC:324","HGNC:20886","0.608","0.687","1","0.283","0.191","0.327","0.569","0.742","1",1
"576","NM_005808","NM_032192","HGNC:16890","HGNC:9287","0","0","1","0","0","0.067","0.167","0.068","0.539",1
"577","NM_018146","NM_016390","HGNC:18485","HGNC:26933","0.457","0.219","0.77","0.294","0.089","0.143","0.246","0.393","0.83",1
"578","NM_001160233","NM_152296","HGNC:799","HGNC:801","0.868","0.786","0.73","0.48","0.222","0.384","0.83","0.849","0.768",1
"579","NM_006241","NM_001009552","HGNC:9288","HGNC:9300","0.252","0","0.449","0.096","0","0.04","0.31","0","0.588",1
"580","NM_172084","NM_172226","HGNC:1461","HGNC:1470","0.582","0.863","0.185","0.222","0.163","0.05","0.47","0.876","0.545",1
"581","NM_002717","NM_139283","HGNC:9304","HGNC:30695","0","0","0","0","0","0","0","0","0",1
"582","NM_000061","NM_005246","HGNC:1133","HGNC:3655","0.532","0.603","0.753","0.222","0.105","0.244","0.543","0.673","0.785",1
"583","NM_014861","NM_001682","HGNC:29103","HGNC:814","1","0.462","1","0.287","0.098","0.067","1","0.495","1",1
"584","NM_030965","NM_001004470","HGNC:19342","HGNC:23317","0.846","1","1","0.481","0.327","0.521","0.712","1","1",1
"585","NM_006241","NM_139283","HGNC:9288","HGNC:30695","0","0","0","0","0","0","0","0","0",1
"586","NM_000300","NM_014589","HGNC:9031","HGNC:13414","0.8","1","0","0.459","0.201","0","0.737","1","0",1
"587","NM_002599","NM_000922","HGNC:8777","HGNC:8779","0.583","0.684","0.459","0.288","0.143","0.179","0.473","0.749","0.603",1
"588","NM_000446","NM_000940","HGNC:9204","HGNC:9206","0.65","0.823","0.646","0.307","0.24","0.354","0.642","0.737","0.7",1
"589","NM_007283","NM_015600","HGNC:17038","HGNC:15868","0.565","0.734","0.695","0.347","0.177","0.415","0.506","0.747","0.721",1
"590","NM_002742","NM_006282","HGNC:9407","HGNC:11408","0.638","0.45","0.706","0.237","0.092","0.172","0.589","0.619","0.77",1
"591","NM_001042600","NM_006852","HGNC:6863","HGNC:11842","0.52","0","0.935","0.2","0","0.236","0.498","0.191","0.952",1
"592","NM_000944","NM_032192","HGNC:9314","HGNC:9287","0.46","1","0.274","0.183","0.175","0.033","0.424","1","0.496",1
"593","NM_014225","NM_002718","HGNC:9302","HGNC:9307","0.246","1","1","0.099","0.607","0.067","0.233","1","1",1
"594","NM_014568","NM_024642","HGNC:4127","HGNC:19877","1","1","0","0.547","0.327","0","1","1","0",1
"595","NM_002576","NM_016281","HGNC:8590","HGNC:18133","0.596","0","0.678","0.248","0","0.149","0.522","0","0.736",1
"596","NM_001086","NM_000936","HGNC:17","HGNC:9155","0.304","0","0.771","0.168","0","0.388","0.229","0.106","0.806",1
"597","NM_181690","NM_002969","HGNC:393","HGNC:6874","0.508","0","0.83","0.187","0","0.192","0.461","0","0.772",1
"598","NM_006282","NM_002969","HGNC:11408","HGNC:6874","0.609","0.77","0.684","0.21","0.138","0.176","0.617","0.816","0.786",1
"599","NM_138612","NM_005328","HGNC:4820","HGNC:4819","0.433","0.818","1","0.261","0.201","0.352","0.426","0.611","1",1
"600","NM_000672","NM_000668","HGNC:255","HGNC:250","1","0.541","0.975","0.68","0.101","0.516","1","0.567","0.935",1
"1","NM_212555","NM_152283","HGNC:32249","HGNC:23241","0","0","0","0","0","0","0","0","0",0
"2","NM_213608","NM_178314","HGNC:33809","HGNC:26814","0","0","0","0","0","0","0","0","0",0
"3","NM_018485","NM_024320","HGNC:4527","HGNC:28149","0","0","0","0","0","0","0","0","0",0
"4","NM_015497","NM_014832","HGNC:24522","HGNC:19165","0.684","0.267","0","0.256","0.091","0","0.504","0.376","0",0
"5","NM_181684","NM_000615","HGNC:20530","HGNC:7656","0.418","1","0","0.189","0.175","0","0.374","1","0",0
"6","NR_003206.1","NM_052865","HGNC:33001","HGNC:16205","0","0","0","0","0","0","0","0","0",0
"7","NM_018674","NM_021728.","HGNC:21263","HGNC:8522","0","0","0","0","0","0","0","0","0",0
"8","NM_014208","NR_028375","HGNC:3054","HGNC:37153","0","0","0","0","0","0","0","0","0",0
"9","NM_030652","NM_004343","HGNC:13944","HGNC:1455","0","0","0","0","0","0","0","0","0",0
"10","NM_013335","NM_203436","HGNC:22923","HGNC:24311","0","0","1","0","0","0.067","0","0.169","1",0
"11","NM_138574","NR_003334","HGNC:21095","HGNC:33086","0","0","0","0","0","0","0","0","0",0
"12","NM_005175","NM_015336","HGNC:841","HGNC:18412","0.32","0.446","1","0.171","0.141","0.067","0.124","0.627","1",0
"13","NM_032926","NM_000134","HGNC:28247","HGNC:3556","0","0","0","0","0","0","0","0","0",0
"14","NM_000342","NR_002974","HGNC:11027","HGNC:32635","0","0","0","0","0","0","0","0","0",0
"15","NM_025069","NM_016506","HGNC:25883","HGNC:23761","0","0","0","0","0","0","0","0","0",0
"16","NM_153370","NM_004694","HGNC:21245","HGNC:10927","0","0","0","0","0","0","0","0","0",0
"17","NM_006091","XR_041878","HGNC:2256","HGNC:34336","0","0","0","0","0","0","0","0","0",0
"18","NM_138484","NM_016070","HGNC:25088","HGNC:14509","0.173","0.444","0.636","0.094","0.154","0.058","0.218","0.577","0.764",0
"19","NM_001002836","NM_152415","HGNC:26998","HGNC:24928","0","0","0","0","0","0","0","0","0.214",0
"20","NM_005128","NM_003526","HGNC:1291","HGNC:4757","0.09","0.584","0","0.045","0.157","0","0.108","0.573","0.477",0
"21","NM_175063","NM_002075","HGNC:27609","HGNC:4400","0.3","0.337","0","0.151","0.091","0","0.233","0.274","0",0
"22","NM_018169","NM_032809","HGNC:25559","HGNC:23621","0.319","0.08","0.282","0.19","0.016","0.067","0.185","0.178","0.815",0
"23","NM_014803","NM_144595","HGNC:29009","HGNC:26387","0","0","0","0","0","0","0","0","0.214",0
"24","NM_176875","NM_001010853","HGNC:1571","HGNC:21408","0.215","0.096","0","0.063","0.016","0","0.214","0.233","0.141",0
"25","NM_000216","NM_021235","HGNC:6211","HGNC:24634","0.463","0","0.576","0.206","0","0.051","0.287","0.344","0.738",0
"26","NM_020945","NM_003493","HGNC:29323","HGNC:4778","0","0","0","0","0","0","0","0","0",0
"27","NM_173582","NM_015060","HGNC:20898","HGNC:28994","0.067","0.297","0","0.028","0.091","0","0.146","0.541","0",0
"28","NM_144638","NM_015255","HGNC:28444","HGNC:21289","0","0","0","0","0","0","0","0","0",0
"29","NM_024754","NM_194294","HGNC:25734","HGNC:27269","0.277","0.478","0","0.151","0.091","0","0.198","0.606","0.088",0
"30","NM_002170","NM_018480","HGNC:5429","HGNC:30883","0.054","0","0.281","0.028","0","0.067","0.115","0.136","0.69",0
"31","NG_001019","NR_030398","HGNC:5526","HGNC:32793","0","0","0","0","0","0","0","0","0",0
"32","NM_015341","NM_001013627","HGNC:1112","HGNC:33737","0","0","0","0","0","0","0","0","0",0
"33","NM_198489","NM_007018","HGNC:30460","HGNC:1858","0","0","0","0","0","0","0","0","0",0
"34","NM_030629","NR_003003","HGNC:24319","HGNC:32574","0","0","0","0","0","0","0","0","0",0
"35","NM_004535","NM_001788","HGNC:7622","HGNC:1717","0.271","0.572","0.072","0.075","0.107","0.017","0.111","0.561","0.293",0
"36","NM_005776","NM_080603","HGNC:19431","HGNC:16155","0","0","0","0","0","0","0","0","0",0
"37","NR_029698","NM_004741","HGNC:31519","HGNC:15608","0.531","0","0.586","0.232","0","0.242","0.387","0.086","0.713",0
"38","NG_004712","NM_005120","HGNC:2290","HGNC:11957","0","0","0","0","0","0","0","0","0",0
"39","NM_003960","NM_001001974","HGNC:18069","HGNC:14335","0.324","0.424","0.391","0.134","0.105","0.039","0.217","0.501","0.532",0
"40","NM_025196","NM_005507","HGNC:19696","HGNC:1874","0","0.384","0.227","0","0.062","0.067","0","0.468","0.815",0
"41","NM_153214","NM_015325.1","HGNC:26740","HGNC:29154","0","0","0","0","0","0","0","0","0",0
"42","NM_006764","NM_015444","HGNC:5457","HGNC:30293","0","0","0","0","0","0","0","0","0",0
"43","NM_014510","NM_015433","HGNC:13406","HGNC:24936","0.08","0.331","0.106","0.028","0.108","0.037","0.112","0.486","0.46",0
"44","NM_153612","NM_013389","HGNC:19419","HGNC:7898","0.191","0.488","0.425","0.107","0.149","0.05","0.24","0.404","0.568",0
"45","NM_032609","NM_005226","HGNC:16232","HGNC:3167","0.052","0.295","0","0.021","0.152","0","0.205","0.208","0.108",0
"46","NM_018379","NM_020169","HGNC:25648","HGNC:13347","0","0","1","0","0","0.067","0","0","1",0
"47","NM_007195","NM_016492","HGNC:9182","HGNC:17679","0.059","0.436","0.186","0.036","0.096","0.048","0.102","0.539","0.417",0
"48","NR_106969","NR_036266","HGNC:50150","HGNC:38218","0","0","0","0","0","0","0","0","0",0
"49","NM_020189","NM_001081976","HGNC:24449","HGNC:51375","0.25","0.041","0","0.102","0.014","0","0.222","0.143","0",0
"50","NM_022039","NM_004195","HGNC:10847","HGNC:11914","0.231","0.099","1","0.109","0.016","0.067","0.151","0.356","1",0
"51","NM_003853","NM_153035","HGNC:5989","HGNC:26494","0","0","0","0","0","0","0","0","0.131",0
"52","NM_080833","NM_004411","HGNC:16144","HGNC:2963","0","0","0","0","0","0","0","0.239","0",0
"53","NM_198449","NM_001159","HGNC:30465","HGNC:553","0","0.067","0","0","0.012","0","0.174","0.252","0",0
"54","NM_152406","NM_025061","HGNC:26714","HGNC:26272","0","0","1","0","0","0.067","0","0","1",0
"55","NM_173658","NM_178550","HGNC:26720","HGNC:28736","0","0","0","0","0","0","0","0","0",0
"56","NM_020722","NM_014780","HGNC:29219","HGNC:21024","0.301","0","1","0.144","0","0.067","0.166","0","1",0
"57","NM_001310153","NM_014648","HGNC:37441","HGNC:30938","0","0","0","0","0","0","0","0","0",0
"58","NM_016372","NM_139282","HGNC:30413","HGNC:29993","0.259","0","0.086","0.068","0","0.012","0.286","0","0.27",0
"59","NM_004842","NM_013449","HGNC:377","HGNC:962","0","0.454","0.401","0","0.116","0.058","0.211","0.506","0.692",0
"60","NM_004769","NM_052969","HGNC:101","HGNC:17094","0.3","0.045","0","0.111","0.016","0","0.146","0.194","0.098",0
"61","NM_012391","NM_002175","HGNC:17257","HGNC:5424","0.269","0","0.085","0.089","0","0.03","0.241","0","0.219",0
"62","NM_013325","NM_023007","HGNC:20790","HGNC:25724","0.286","0.622","0.582","0.148","0.079","0.108","0.463","0.784","0.527",0
"63","NM_194326","NM_006367","HGNC:28749","HGNC:20040","0","0.274","0","0","0.088","0","0","0.307","0",0
"64","NR_103538","NM_175748","HGNC:21195","HGNC:20344","0","0","0","0","0","0","0","0","0",0
"65","NM_024300","NM_004824","HGNC:28314","HGNC:1811","0","0","0","0","0","0","0.18","0.218","0.477",0
"66","NM_001011878","NM_198508","HGNC:18101","HGNC:24778","0","0","0","0","0","0","0","0","0",0
"67","NM_000544","NM_004257","HGNC:44","HGNC:16836","0.223","0.523","0.363","0.152","0.138","0.087","0.348","0.655","0.588",0
"68","NM_004925","NM_002953","HGNC:636","HGNC:10430","0.349","0.468","0","0.151","0.061","0","0.261","0.563","0.081",0
"69","NM_014649","NM_015045","HGNC:21605","HGNC:23293","0","0.563","1","0","0.104","0.067","0","0.667","1",0
"70","NM_001040110","NM_004763, NM_022334","HGNC:7996","HGNC:23927","0","0","0","0","0","0","0","0","0",0
"71","NM_003306","NM_152288","HGNC:12336","HGNC:28185","0","0","1","0","0","0.067","0","0","1",0
"72","NM_002778","NM_152515","HGNC:9498","HGNC:26877","0","0.228","0","0","0.068","0","0","0.345","0",0
"73","NM_002260","NM_003720","HGNC:6375","HGNC:3043","0.067","0.093","1","0.028","0.015","0.067","0.102","0.295","1",0
"74","NM_003253","NM_000588","HGNC:11805","HGNC:6011","0.485","0","0.157","0.19","0","0.067","0.476","0.25","0.532",0
"75","NM_005365","NM_005681","HGNC:6807","HGNC:11532","0","0","1","0","0","0.067","0.138","0.208","1",0
"76","NM_001190702","NM_002569","HGNC:37165","HGNC:8568","0","0","0","0","0","0","0","0","0",0
"77","NM_003181","NM_178456","HGNC:11515","HGNC:16216","0","0","0","0","0","0","0","0","0",0
"78","NM_052904","NM_005978","HGNC:21221","HGNC:10492","0","0","0","0","0","0","0","0","0",0
"79","NM_004827","NM_001145029","HGNC:74","HGNC:24165","0","0","0","0","0","0","0.303","0.308","0.477",0
"80","NG_008909","NR_023371","HGNC:43626","HGNC:34370","0","0","0","0","0","0","0","0","0",0
"81","NM_178349","NM_006836","HGNC:16611","HGNC:4199","0","0","0.302","0","0","0.067","0","0","0.69",0
"82","NM_017823","NM_153706","HGNC:21480","HGNC:28508","0.069","1","0.345","0.028","0.184","0.134","0.095","1","0.157",0
"83","NM_001956","NM_006388","HGNC:3177","HGNC:5275","0.344","0","0.196","0.161","0","0.099","0.281","0.119","0.352",0
"84","NM_012155","NM_138697","HGNC:18035","HGNC:14448","0.382","0.041","0.2","0.221","0.012","0.054","0.346","0.195","0.466",0
"85","NM_207397","NM_152911","HGNC:32043","HGNC:20837","0","0","0","0","0","0","0","0","0",0
"86","NM_013444","NR_024087","HGNC:12509","HGNC:21342","0","0","0","0","0","0","0","0","0",0
"87","NM_006468","NM_001101362","HGNC:30076","HGNC:37227","0.237","1","0","0.121","0.175","0","0.199","1","0",0
"88","NM_178477","NR_030388","HGNC:16172","HGNC:32909","0","0","0","0","0","0","0","0","0",0
"89","NM_181481","NM_024887","HGNC:1224","HGNC:20603","0.294","0.407","0.218","0.199","0.097","0.067","0.158","0.374","0.69",0
"90","NM_020183","NR_031696","HGNC:18984","HGNC:35361","0","0","0","0","0","0","0","0","0",0
"91","NM_001008747","NM_019105","HGNC:37295","HGNC:11976","0","0","0","0","0","0","0","0","0",0
"92","NM_003730","NM_007265","HGNC:21686","HGNC:17029","0.547","0.331","0","0.216","0.087","0","0.313","0.474","0.158",0
"93","NM_024699","NM_006437","HGNC:25858","HGNC:271","0.16","0.778","0.396","0.086","0.313","0.037","0.209","0.486","0.588",0
"94","NM_032206","NG_001333","HGNC:29933","HGNC:12196","0","0","0","0","0","0","0","0","0",0
"95","NM_152608","NM_016174","HGNC:26643","HGNC:23723","0","0.118","0","0","0.016","0","0.112","0.305","0",0
"96","NM_002101","NM_001039792","HGNC:4704","HGNC:33872","0","0","0","0","0","0","0","0","0",0
"97","NM_022150","NG_001333","HGNC:13782","HGNC:12243","0","0","0","0","0","0","0","0","0",0
"98","NM_001358683","NM_000562","HGNC:26080","HGNC:1352","0","0","0","0","0","0","0","0","0",0
"99","NM_032292","NM_006548","HGNC:25973","HGNC:28867","0","0.618","0","0","0.088","0","0","0.683","0.276",0
"100","NM_198496","NM_153325","HGNC:24709","HGNC:18105","0","0","0","0","0","0","0","0","0",0
"101","NM_031915","NM_138463","HGNC:20263","HGNC:25177","0.153","0.118","0","0.074","0.016","0","0.282","0.356","0",0
"102","NM_024326","NM_024099","HGNC:28155","HGNC:28351","0","0","0","0","0","0","0","0","0",0
"103","NM_002883","NG_001332","HGNC:9854","HGNC:12149","0","0","0","0","0","0","0","0","0",0
"104","NM_002216","NM_000033","HGNC:6167","HGNC:61","0.167","0.272","0","0.07","0.098","0","0.181","0.423","0.128",0
"105","NM_001202473","NM_017875","HGNC:38879","HGNC:26054","0","0","0","0","0","0","0","0","0",0
"106","NM_003979","NM_021138","HGNC:9836","HGNC:12032","0.42","0.44","0.364","0.184","0.133","0.059","0.394","0.533","0.658",0
"107","NM_001040084","NG_001019","HGNC:546","HGNC:5581","0","0","0","0","0","0","0","0","0",0
